Fri Feb  3 20:29:46 2023    pr.txt

         14785098 function calls (14435973 primitive calls) in 14.800 seconds

   Ordered by: cumulative time
   List reduced from 3672 to 300 due to restriction <300>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    424/1    0.003    0.000   14.800   14.800 {built-in method builtins.exec}
        1    0.000    0.000   14.800   14.800 AnalyseEmissions.py:1(<module>)
        6    0.000    0.000   13.565    2.261 frame.py:9398(apply)
        6    0.001    0.000   13.565    2.261 apply.py:713(apply)
        6    0.000    0.000   13.564    2.261 apply.py:872(apply_standard)
        6    0.078    0.013   13.538    2.256 apply.py:878(apply_series_generator)
        1    0.001    0.001   12.256   12.256 DataOperations.py:180(merge_data)
    42921    0.223    0.000    6.282    0.000 frame.py:3755(__getitem__)
     9891    0.017    0.000    5.754    0.001 DataOperations.py:196(<lambda>)
     9891    0.016    0.000    5.600    0.001 DataOperations.py:193(<lambda>)
     9891    0.088    0.000    5.489    0.001 DataExtraction.py:46(get_gdp)
    20594    0.104    0.000    5.367    0.000 frame.py:3829(_getitem_bool_array)
     9891    0.085    0.000    5.342    0.001 DataExtraction.py:41(get_population)
    22476    0.060    0.000    5.217    0.000 common.py:57(new_method)
    21471    0.024    0.000    4.807    0.000 arraylike.py:40(__eq__)
    21471    0.169    0.000    4.784    0.000 series.py:6233(_cmp_method)
    20610    0.069    0.000    4.083    0.000 generic.py:3894(_take_with_is_copy)
    20610    0.112    0.000    3.499    0.000 generic.py:3873(_take)
    20616    0.109    0.000    2.898    0.000 managers.py:934(take)
    22476    0.098    0.000    2.622    0.000 series.py:3194(_construct_result)
       62    0.002    0.000    2.451    0.040 __init__.py:1(<module>)
23852/23841    0.249    0.000    2.105    0.000 series.py:342(__init__)
    20629    0.128    0.000    1.621    0.000 managers.py:681(reindex_indexer)
    21471    0.120    0.000    1.551    0.000 array_ops.py:231(comparison_op)
2966712/2899768    0.775    0.000    1.377    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    1.362    1.362 DataExtraction.py:99(n_highest_reductions_increases)
      205    0.000    0.000    1.287    0.006 DataExtraction.py:104(<lambda>)
      205    0.013    0.000    1.284    0.006 DataExtraction.py:88(get_reduction)
    20608    0.063    0.000    1.097    0.000 managers.py:742(<listcomp>)
    20671    0.061    0.000    1.049    0.000 array_ops.py:60(comp_method_OBJECT_ARRAY)
    42057    0.119    0.000    1.035    0.000 blocks.py:859(take_nd)
    20680    0.059    0.000    1.029    0.000 indexing.py:2522(check_bool_indexer)
    79334    0.211    0.000    0.901    0.000 series.py:966(__getitem__)
    20671    0.882    0.000    0.882    0.000 {pandas._libs.ops.scalar_compare}
    511/6    0.005    0.000    0.851    0.142 <frozen importlib._bootstrap>:1022(_find_and_load)
    511/6    0.002    0.000    0.850    0.142 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
    488/5    0.003    0.000    0.845    0.169 <frozen importlib._bootstrap>:664(_load_unlocked)
    406/5    0.002    0.000    0.844    0.169 <frozen importlib._bootstrap_external>:877(exec_module)
    669/5    0.001    0.000    0.841    0.168 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
    42127    0.104    0.000    0.699    0.000 take.py:57(take_nd)
    20616    0.361    0.000    0.653    0.000 utils.py:243(maybe_convert_indices)
    20680    0.139    0.000    0.643    0.000 utils.py:430(check_array_indexer)
   548959    0.257    0.000    0.613    0.000 generic.py:45(_instancecheck)
    42127    0.192    0.000    0.560    0.000 take.py:120(_take_nd_ndarray)
   128620    0.188    0.000    0.508    0.000 generic.py:5904(__setattr__)
   421/31    0.001    0.000    0.508    0.016 {built-in method builtins.__import__}
    44489    0.264    0.000    0.492    0.000 generic.py:5844(__finalize__)
    43787    0.040    0.000    0.491    0.000 config.py:262(__call__)
    79333    0.121    0.000    0.464    0.000 series.py:1072(_get_value)
    43797    0.065    0.000    0.451    0.000 config.py:134(_get_option)
    22727    0.128    0.000    0.429    0.000 construction.py:493(sanitize_array)
        8    0.000    0.000    0.420    0.053 api.py:1(<module>)
    23380    0.117    0.000    0.410    0.000 base.py:5505(equals)
    22546    0.050    0.000    0.389    0.000 managers.py:1907(from_array)
839123/582937    0.262    0.000    0.381    0.000 {built-in method builtins.len}
    20639    0.107    0.000    0.368    0.000 base.py:1169(take)
  777/529    0.002    0.000    0.367    0.001 <frozen importlib._bootstrap>:1053(_handle_fromlist)
    20864    0.069    0.000    0.359    0.000 common.py:96(is_bool_indexer)
    63061    0.081    0.000    0.358    0.000 common.py:162(is_object_dtype)
    19782    0.062    0.000    0.345    0.000 indexing.py:2423(__getitem__)
   548964    0.244    0.000    0.344    0.000 generic.py:40(_check)
    68007    0.104    0.000    0.316    0.000 series.py:661(name)
    42136    0.045    0.000    0.295    0.000 {method 'any' of 'numpy.ndarray' objects}
    22613    0.088    0.000    0.288    0.000 blocks.py:2170(new_block)
        3    0.000    0.000    0.279    0.093 generic.py:1(<module>)
    43466    0.111    0.000    0.275    0.000 _ufunc_config.py:32(seterr)
    43817    0.098    0.000    0.272    0.000 config.py:116(_get_single_key)
146045/125360    0.165    0.000    0.263    0.000 {built-in method numpy.asarray}
    20928    0.026    0.000    0.261    0.000 managers.py:2396(_using_copy_on_write)
      504    0.005    0.000    0.256    0.001 <frozen importlib._bootstrap>:921(_find_spec)
    65751    0.101    0.000    0.252    0.000 common.py:1591(_is_dtype_type)
    42136    0.027    0.000    0.250    0.000 _methods.py:54(_any)
      487    0.001    0.000    0.246    0.001 <frozen importlib._bootstrap_external>:1431(find_spec)
      487    0.003    0.000    0.245    0.001 <frozen importlib._bootstrap_external>:1399(_get_spec)
    19782    0.047    0.000    0.240    0.000 indexing.py:2372(__getitem__)
      406    0.006    0.000    0.235    0.001 <frozen importlib._bootstrap_external>:950(get_code)
    39980    0.102    0.000    0.231    0.000 apply.py:998(series_generator)
      820    0.010    0.000    0.229    0.000 <frozen importlib._bootstrap_external>:1536(find_spec)
    45396    0.037    0.000    0.227    0.000 construction.py:399(extract_array)
    42367    0.225    0.000    0.225    0.000 {method 'reduce' of 'numpy.ufunc' objects}
   144782    0.077    0.000    0.224    0.000 series.py:596(dtype)
     9891    0.012    0.000    0.224    0.000 DataOperations.py:199(<lambda>)
     9891    0.013    0.000    0.224    0.000 DataOperations.py:202(<lambda>)
    68016    0.061    0.000    0.213    0.000 common.py:1725(validate_all_hashable)
     1930    0.002    0.000    0.211    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
     1947    0.211    0.000    0.211    0.000 {built-in method nt.stat}
   122540    0.129    0.000    0.209    0.000 indexing.py:2656(check_deprecated_indexers)
    42287    0.074    0.000    0.206    0.000 common.py:1278(is_bool_dtype)
    44550    0.151    0.000    0.204    0.000 generic.py:259(__init__)
    19782    0.072    0.000    0.182    0.000 frame.py:3891(_get_value)
    21733    0.032    0.000    0.182    0.000 _ufunc_config.py:429(__enter__)
    62291    0.043    0.000    0.180    0.000 inference.py:188(is_array_like)
    80460    0.099    0.000    0.177    0.000 base.py:3755(get_loc)
    79333    0.089    0.000    0.169    0.000 base.py:5975(_get_values_for_loc)
    20698    0.039    0.000    0.166    0.000 frame.py:607(__init__)
      5/4    0.000    0.000    0.165    0.041 _decorators.py:170(wrapper)
